파일명,소분류1,확률1(%),소분류2,확률2(%),소분류3,확률3(%)
미술관_국제갤러리 부산지점_1635.jpg,Cultural symbols adorning festival entrance,66.54,Festival banners waving in the breeze,20.35,Traditional festival decorations up close,6.77
미술관_국제갤러리 부산지점_1636.jpg,gallery surrounded by blooming gardens,64.74,vibrant murals on gallery walls,32.56,gallery roofline with city backdrop,0.74
미술관_국제갤러리 부산지점_1637.jpg,Reflections on glass storefront windows,47.05,Tower reflection in nearby water,18.93,Department store architectural facade,11.03
미술관_금련산갤러리_1638.jpg,Temple steps leading to mountains,40.75,trail winding through rocky terrain,14.23,traditional rooftops against clear sky,13.98
미술관_금련산갤러리_1639.jpg,gallery surrounded by blooming gardens,41.49,artistic gallery entrance detail,21.71,Colorful flags fluttering in breeze,10.09
미술관_금련산갤러리_1640.jpg,Market signs in vibrant colors,25.9,Seasonal produce in abundance,13.41,gallery surrounded by blooming gardens,10.49
미술관_금정문화회관 금샘미술관_1620.jpg,Festival banners waving in the breeze,84.87,Colorful flags fluttering in breeze,6.24,Cultural symbols adorning festival entrance,3.03
미술관_금정문화회관 금샘미술관_1621.jpg,traditional rooftops against clear sky,70.18,gallery surrounded by blooming gardens,8.03,gallery roofline with city backdrop,4.39
미술관_금정문화회관 금샘미술관_1622.jpg,Festival grounds under starry sky,48.8,Cultural symbols adorning festival entrance,11.72,Traditional festival decorations up close,10.26
미술관_김홍도미술관_705.jpg,Vibrant garden surrounding stone tower,50.22,Historic murals on palace walls,11.89,vibrant flowers in palace gardens,8.99
미술관_김홍도미술관_706.jpg,vintage cinema marquee at dusk,44.33,old cinema ticket booth,12.47,Open-air market architecture,8.93
미술관_대구간송미술관_1995.jpg,fountain against mountain backdrop,67.6,historic pavilion with mountain backdrop,15.28,Rooftop terrace overlooking cityscape,5.86
미술관_대구간송미술관_1996.jpg,Market signs in vibrant colors,70.68,Seasonal produce in abundance,6.64,Market entrance with traditional decor,5.36
미술관_대구간송미술관_1997.jpg,panoramic view from stadium roof,84.11,Temple reflected in serene pond,3.9,traditional rooftops against clear sky,3.56
미술관_대구미술관_1992.jpg,artistic gallery entrance detail,22.61,gallery surrounded by blooming gardens,16.36,vibrant murals on gallery walls,10.47
미술관_대구미술관_1993.jpg,gallery surrounded by blooming gardens,49.87,Handcrafted goods on display,23.3,vibrant murals on gallery walls,8.41
미술관_대구미술관_1994.jpg,gallery surrounded by blooming gardens,50.49,gallery roofline with city backdrop,28.49,historic architecture of gallery exterior,5.14
미술관_대림미술관_188.jpg,vibrant murals on gallery walls,70.66,gallery surrounded by blooming gardens,20.44,artistic gallery entrance detail,6.28
미술관_대림미술관_189.jpg,vibrant murals on gallery walls,93.67,artistic gallery entrance detail,3.66,gallery surrounded by blooming gardens,1.04
미술관_더리미미술관_1144.jpg,bar with sprawling vineyard view,92.97,Scenic view from restaurant balcony,1.56,bar nestled in mountain village,0.9
미술관_더리미미술관_1145.jpg,gallery surrounded by blooming gardens,58.85,vibrant murals on gallery walls,14.21,artistic gallery entrance detail,9.61
미술관_디뮤지엄_181.jpg,Vibrant festival lights at twilight,35.72,Festival reflections on nearby water,19.06,crystal-clear turquoise waters,8.73
미술관_랄프깁슨 사진미술관_1629.jpg,Reflections on glass storefront windows,77.95,gallery silhouette against evening sky,10.23,Intricate window display details,4.91
미술관_리움미술관_150.jpg,reflection of gallery on rain puddle,31.79,theater balcony overlooking the street,10.86,gallery roofline with city backdrop,7.83
미술관_리움미술관_152.jpg,Shadow patterns on museum walls,40.69,Sculptural museum water fountain,36.34,artistic gallery entrance detail,6.74
미술관_뮤지엄원_1615.jpg,reflection of gallery on rain puddle,43.46,Reflections on museum pond,15.48,Shadow patterns on museum walls,13.97
미술관_뮤지엄원_1616.jpg,trail winding through rocky terrain,31.22,snow-dusted trail in winter,26.42,trail leading to hidden waterfall,12.55
미술관_미메시스아트뮤지엄_679.jpg,vibrant murals on gallery walls,27.66,Shadow patterns on museum walls,20.3,gallery surrounded by blooming gardens,20.16
미술관_부산시립미술관 (휴관중)_1605.jpg,artistic gallery entrance detail,50.05,seasonal blossoms near gallery windows,23.06,gallery surrounded by blooming gardens,13.76
미술관_부산시립미술관 이우환공간_1623.jpg,Historic architecture in museum courtyard,27.44,Reflections on museum pond,20.82,Museum facade at golden hour,18.98
미술관_부산시립미술관 이우환공간_1624.jpg,Sculptured topiary under clear sky,36.03,fountain with ornate stone carvings,12.35,Blooming flower beds in spring,10.34
미술관_부산시립미술관 이우환공간_1625.jpg,seagulls soaring above the sea,60.09,artistic gallery entrance detail,8.82,reflection of gallery on rain puddle,8.63
미술관_부산현대미술관_1611.jpg,Market signs in vibrant colors,93.3,Seasonal produce in abundance,1.47,Historic market square details,1.15
미술관_부산현대미술관_1612.jpg,wildflowers blooming in forest clearings,33.82,Historic architecture in museum courtyard,21.01,Shadow patterns on museum walls,15.51
미술관_부평아트센터 꽃누리갤러리_1153.jpg,Sculptural museum water fountain,46.37,artistic gallery entrance detail,22.76,gallery surrounded by blooming gardens,9.47
미술관_서면미술관_1617.jpg,Observatory silhouette at golden hour,33.22,Observatory framed by blooming flowers,22.2,moonlit palace silhouette at night,8.68
미술관_서면미술관_1618.jpg,reflection of gallery on rain puddle,79.28,Observatory framed by blooming flowers,9.5,gallery surrounded by blooming gardens,2.63
미술관_서울시립 북서울미술관_179.jpg,Festival banners waving in the breeze,52.12,Festival grounds under starry sky,15.2,Cultural symbols adorning festival entrance,7.93
미술관_서울시립 북서울미술관_180.jpg,vibrant murals on gallery walls,34.76,gallery surrounded by blooming gardens,32.69,Sculptural museum water fountain,7.52
미술관_서울시립 사진미술관_193.jpg,Museum facade at golden hour,43.86,retro cinema facade,16.13,cinema with starry night backdrop,15.83
미술관_서울시립 사진미술관_194.jpg,Festival grounds under starry sky,59.07,theater garden with blooming flowers,9.82,Festival banners waving in the breeze,6.1
미술관_서울시립 사진미술관_195.jpg,gallery surrounded by blooming gardens,29.99,Shadow patterns on museum walls,14.58,historic architecture of gallery exterior,10.63
미술관_서울시립미술관 서소문본관_159.jpg,Historic murals on palace walls,20.94,Department store architectural facade,18.39,Panoramic views from palace balcony,8.82
미술관_서울시립미술관 서소문본관_160.jpg,gallery surrounded by blooming gardens,76.81,vibrant murals on gallery walls,12.82,Reflections on museum pond,3.44
미술관_서울시립미술관 서소문본관_161.jpg,gallery surrounded by blooming gardens,76.81,vibrant murals on gallery walls,12.82,Reflections on museum pond,3.44
미술관_서울시립미술관 서소문본관_162.jpg,Handcrafted goods on display,26.72,Festival grounds under starry sky,14.97,Seasonal produce in abundance,12.97
미술관_석모도갤러리_1168.jpg,Baskets overflowing with spices,80.42,Seasonal produce in abundance,6.79,Artisanal crafts from local vendors,5.15
미술관_석파정 서울미술관_169.jpg,Festival banners waving in the breeze,60.23,forest path with fallen leaves,13.06,Festival grounds under starry sky,11.75
미술관_석파정 서울미술관_170.jpg,Seasonal produce in abundance,49.87,Artisanal crafts from local vendors,14.8,Market signs in vibrant colors,10.45
미술관_석파정 서울미술관_171.jpg,artistic gallery entrance detail,43.34,reflection of gallery on rain puddle,39.68,Shadow patterns on museum walls,2.14
미술관_성남큐브미술관_701.jpg,Museum facade at golden hour,31.77,gallery surrounded by blooming gardens,11.4,Shadow patterns on museum walls,9.76
미술관_송암미술관_1135.jpg,Sculptural museum water fountain,32.19,artistic gallery entrance detail,21.49,gallery courtyard with ancient sculptures,20.88
미술관_송암미술관_1136.jpg,fountain with ornate stone carvings,49.49,Historic architecture in museum courtyard,13.46,fountain against mountain backdrop,7.35
미술관_수원시립미술관_674.jpg,Vintage amusement park entrance sign,53.26,traditional rooftops against clear sky,12.13,Historic architecture in museum courtyard,10.2
미술관_수원시립미술관_675.jpg,autumn leaves reflected in river,39.38,reflections in serene palace pond,31.04,Colorful flags fluttering in breeze,8.73
미술관_수원시립미술관_676.jpg,Sculptural museum water fountain,66.07,gallery surrounded by blooming gardens,9.91,gallery courtyard with ancient sculptures,5.1
미술관_스페인마을 갤러리_1151.jpg,Festival grounds under starry sky,75.93,traditional rooftops against clear sky,13.2,Festival reflections on nearby water,2.88
미술관_아모레퍼시픽미술관_175.jpg,old cinema ticket booth,29.79,artistic gallery entrance detail,26.74,neon-lit cinema entrance,19.75
미술관_아트KMJ갤러리_1170.jpg,Fog enveloping the medieval tower,48.44,Sunrise over coastal tower landscape,38.2,Snow-capped mountains behind tower,3.92
미술관_양주시립장욱진미술관_680.jpg,Silhouette of tower against twilight,21.81,Temple courtyard surrounded by gardens,19.63,Birds circling above the old tower,9.95
미술관_양주시립장욱진미술관_681.jpg,Stone bridge over gentle stream,84.18,trail leading to hidden waterfall,3.62,Roller coaster with mountain backdrop,3.41
미술관_양주시립장욱진미술관_682.jpg,retro cinema facade,34.61,cinema with starry night backdrop,15.68,historic pavilion with mountain backdrop,6.07
미술관_양평군립미술관_693.jpg,Vintage amusement park entrance sign,55.79,cinema poster alleyway,35.41,art deco cinema architecture,3.51
미술관_양평군립미술관_694.jpg,sailboats against vibrant skyline,42.94,vibrant murals on gallery walls,18.54,quaint fishing boats lingering,10.25
미술관_양평군립미술관_695.jpg,gallery surrounded by blooming gardens,62.34,vibrant murals on gallery walls,32.91,seasonal blossoms near gallery windows,2.18
미술관_예술의전당 한가람미술관_164.jpg,gallery surrounded by blooming gardens,31.94,Handcrafted goods on display,15.89,Seasonal produce in abundance,9.36
미술관_예술의전당 한가람미술관_165.jpg,Seasonal produce in abundance,22.51,Market signs in vibrant colors,16.89,Historic market square details,13.46
미술관_오산시립미술관_708.jpg,Museum facade at golden hour,56.37,Department store architectural facade,13.95,Historic architecture in museum courtyard,9.75
미술관_오산시립미술관_710.jpg,gallery surrounded by blooming gardens,21.49,Reflections on museum pond,20.2,reflection of gallery on rain puddle,17.22
미술관_우현문갤러리_1161.jpg,neon-lit cinema entrance,26.33,Sculptural museum water fountain,17.43,artistic gallery entrance detail,13.85
미술관_우현문갤러리_1162.jpg,vibrant murals on gallery walls,75.2,seasonal blossoms near gallery windows,7.31,gallery surrounded by blooming gardens,6.13
미술관_우현문갤러리_1163.jpg,vibrant murals on gallery walls,53.45,gallery surrounded by blooming gardens,24.44,seasonal blossoms near gallery windows,16.44
미술관_유리섬_686.jpg,artistic gallery entrance detail,62.48,vibrant murals on gallery walls,16.12,gallery surrounded by blooming gardens,5.66
미술관_유리섬_687.jpg,quaint bakery facade with flowers,46.36,early morning light on bakery sign,19.32,bar nestled in mountain village,8.57
미술관_유리섬_688.jpg,vibrant murals on gallery walls,83.04,artistic gallery entrance detail,7.72,gallery surrounded by blooming gardens,4.74
미술관_전원미술관_1173.jpg,street view with distant mountains,56.36,Historic street view from doorway,10.25,foggy street with old-world charm,9.69
미술관_전원미술관_1174.jpg,Rustic wooden facade and shutters,46.99,Old building exterior with ivy,20.66,Quaint courtyard with stone path,16.09
미술관_전원미술관_1175.jpg,Old building exterior with ivy,33.24,traditional rooftops against clear sky,17.65,Rustic wooden facade and shutters,15.19
미술관_정서진아트큐브_1155.jpg,Grand staircase leading upwards,25.11,theater garden with blooming flowers,20.71,ornate theater architecture details,11.7
미술관_정서진아트큐브_1156.jpg,gallery surrounded by blooming gardens,89.88,Butterflies fluttering over flowers,5.76,seasonal blossoms near gallery windows,1.57
미술관_참살이미술관_1146.jpg,Handcrafted goods on display,68.71,vibrant murals on gallery walls,9.44,Artisanal crafts from local vendors,6.72
미술관_참살이미술관_1147.jpg,artistic gallery entrance detail,58.8,vibrant murals on gallery walls,19.28,gallery surrounded by blooming gardens,8.89
미술관_참살이미술관_1148.jpg,Charming entrance with vintage signage,40.05,Museum facade at golden hour,28.55,Historic street view from doorway,7.08
미술관_채플갤러리_1137.jpg,vibrant murals on gallery walls,42.25,gallery surrounded by blooming gardens,40.89,seasonal blossoms near gallery windows,6.1
미술관_채플갤러리_1138.jpg,vibrant murals on gallery walls,51.58,artistic gallery entrance detail,22.34,reflection of gallery on rain puddle,7.49
미술관_채플갤러리_1139.jpg,gallery surrounded by blooming gardens,53.42,vibrant murals on gallery walls,36.32,seasonal blossoms near gallery windows,4.54
미술관_포레리움_704.jpg,Observatory architecture against clear sky,59.84,Historic architecture in museum courtyard,6.55,Museum facade at golden hour,3.5
미술관_한두뼘12갤러리_1176.jpg,bakery courtyard with rustic charm,34.72,bakery nestled in snowy village,28.11,charming cobblestone street to bakery,20.75
미술관_한새갤러리_1646.jpg,Shadowed alley under vintage lamps,31.94,Narrow cobblestone alley at dawn,17.86,cobblestone street with vintage lamps,13.77
미술관_호암미술관_668.jpg,ancient gate framed by trees,63.01,Temple courtyard surrounded by gardens,24.97,Temple entrance with ornate details,9.27
미술관_호암미술관_669.jpg,Temple courtyard surrounded by gardens,55.03,autumn hues surrounding palace grounds,13.33,Temple tower framed by lush trees,10.27
미술관_호암미술관_670.jpg,wildflowers blooming in forest clearings,79.39,Butterflies fluttering over flowers,6.6,wildflowers lining the trail path,6.6
박물관_강화역사박물관_1190.jpg,Shadow patterns on museum walls,46.69,artistic gallery entrance detail,29.34,Ornate museum entrance details,6.59
박물관_강화역사박물관_1191.jpg,snow-dusted palace under winter sun,35.37,Museum facade at golden hour,26.91,Historic architecture in museum courtyard,7.63
박물관_강화자연사박물관_1199.jpg,vibrant murals on gallery walls,30.68,gallery surrounded by blooming gardens,15.46,artistic gallery entrance detail,10.26
박물관_강화자연사박물관_1200.jpg,vibrant murals on gallery walls,60.91,artistic gallery entrance detail,12.1,Shadow patterns on museum walls,7.89
박물관_강화전쟁박물관_1210.jpg,Shadow patterns on museum walls,29.22,gallery surrounded by blooming gardens,17.63,seasonal blossoms near gallery windows,12.2
박물관_강화전쟁박물관_1212.jpg,Historic architecture in museum courtyard,28.23,Historic murals on palace walls,10.18,historic pavilion with mountain backdrop,10.08
박물관_검단선사박물관_1207.jpg,artistic gallery entrance detail,30.53,Historic architecture in museum courtyard,12.42,gallery courtyard with ancient sculptures,10.11
박물관_검단선사박물관_1208.jpg,Festival banners waving in the breeze,57.04,Colorful festival flags against blue sky,21.75,Colorful flags fluttering in breeze,6.46
박물관_검단선사박물관_1209.jpg,Sculptural museum water fountain,59.42,Quiet museum courtyard nooks,12.68,gallery surrounded by blooming gardens,11.95
박물관_경기도어린이박물관_723.jpg,Market signs in vibrant colors,82.21,Open-air market architecture,7.04,Historic market square details,2.79
박물관_경기도어린이박물관_724.jpg,gallery surrounded by blooming gardens,60.24,Historic architecture in museum courtyard,9.72,vibrant murals on gallery walls,4.06
박물관_경기도어린이박물관_725.jpg,Festival banners waving in the breeze,95.76,Colorful flags fluttering in breeze,1.96,Colorful festival flags against blue sky,1.49
박물관_경기북부어린이박물관_747.jpg,Seasonal decorations on store exterior,67.26,theater exterior with grand entrance,12.16,Department store architectural facade,8.88
박물관_경기북부어린이박물관_748.jpg,Festival banners waving in the breeze,75.21,Colorful festival flags against blue sky,20.37,Cultural symbols adorning festival entrance,2.36
박물관_경기북부어린이박물관_749.jpg,Historic murals on palace walls,47.68,Grand staircase leading upwards,20.74,Historic architecture in museum courtyard,10.06
박물관_계양산성박물관_1213.jpg,gallery surrounded by blooming gardens,60.91,Historic architecture in museum courtyard,6.63,gallery courtyard with ancient sculptures,5.54
박물관_계양산성박물관_1214.jpg,Festival banners waving in the breeze,24.04,Festival grounds under starry sky,22.67,gallery surrounded by blooming gardens,16.03
박물관_고양어린이박물관_730.jpg,Panoramic view of the zoo gardens,93.88,Tropical rainforest habitat at dawn,1.45,sunlight filtering through forest canopy,1.14
박물관_고양어린이박물관_731.jpg,vibrant murals on gallery walls,58.59,Panoramic view of the zoo gardens,22.2,gallery surrounded by blooming gardens,9.48
박물관_국립고궁박물관_208.jpg,artistic gallery entrance detail,49.75,gallery surrounded by blooming gardens,9.86,Ornate museum entrance details,8.26
박물관_국립고궁박물관_209.jpg,gallery surrounded by blooming gardens,38.19,vibrant murals on gallery walls,32.31,Vintage amusement park entrance sign,8.83
박물관_국립농업박물관_741.jpg,Festival banners waving in the breeze,64.84,Festival grounds under starry sky,29.52,Cherry blossoms in full bloom,1.41
박물관_국립농업박물관_742.jpg,Blooming flower beds in spring,37.32,traditional rooftops against clear sky,19.56,Garden pathway with stone arch,7.2
박물관_국립농업박물관_743.jpg,rustic bar with wooden façade,31.2,hidden bar in urban courtyard,30.48,bar with rooftop cityscape view,6.94
박물관_국립민속박물관 본관_206.jpg,Colorful flags fluttering in breeze,35.97,Colorful flags fluttering in breeze,35.97,Blooming flower beds in spring,8.86
박물관_국립세계문자박물관_1192.jpg,Cultural symbols adorning festival entrance,84.07,Colorful festival flags against blue sky,2.75,Traditional festival decorations up close,2.64
박물관_국립세계문자박물관_1193.jpg,fountain surrounded by urban skyline,95.17,fountain with cascading waterfalls,2.73,fountain with vibrant flowers surrounding,0.88
박물관_국립세계문자박물관_1194.jpg,panoramic view from stadium roof,42.45,distant mountains seen from stadium,20.78,traditional rooftops against clear sky,10.95
박물관_국립인천해양박물관_1186.jpg,seagulls soaring above the sea,59.0,golden sands meeting the waves,10.99,Reflection of rides in water,7.49
박물관_국립인천해양박물관_1188.jpg,Historic murals on palace walls,67.97,Historic architecture in museum courtyard,11.75,Grand staircase leading upwards,7.63
박물관_국립중앙박물관_199.jpg,Golden light on temple roof,48.0,Temple reflected in serene pond,28.62,Sunrise glow on ancient temple,7.16
박물관_국립중앙박물관_201.jpg,Shadow patterns on museum walls,22.05,Reflection in garden pond,13.42,Autumn leaves carpeting the ground,13.17
박물관_국립항공박물관_223.jpg,Sunrise illuminating the observatory dome,14.92,Observatory architecture against clear sky,12.97,gallery surrounded by blooming gardens,11.68
박물관_국립항공박물관_224.jpg,artistic gallery entrance detail,42.87,gallery courtyard with ancient sculptures,12.47,gallery surrounded by blooming gardens,12.45
박물관_국립해양박물관_1668.jpg,theater exterior with grand entrance,83.55,rainbow over stadium's entrance,5.1,panoramic view from stadium roof,3.57
박물관_국립해양박물관_1669.jpg,crystal-clear turquoise waters,45.96,Panoramic view of the zoo gardens,15.47,Elephants bathing in the lagoon,14.43
박물관_국립해양박물관_1670.jpg,quaint fishing boats lingering,66.73,sailboats against vibrant skyline,16.6,sailboats docked at twilight,7.3
박물관_대한민국역사박물관_202.jpg,Historic department store entrance,51.4,Seasonal decorations on store exterior,8.47,Department store architectural facade,6.08
박물관_대한민국역사박물관_204.jpg,vibrant murals on gallery walls,27.29,artistic gallery entrance detail,19.3,gallery surrounded by blooming gardens,15.57
박물관_부산영화체험박물관_1662.jpg,Vintage amusement park entrance sign,82.95,Penguins playing by the waterfall,7.72,Roller coaster with mountain backdrop,5.2
박물관_부산영화체험박물관_1663.jpg,Vintage amusement park entrance sign,76.07,Penguins playing by the waterfall,11.31,Roller coaster with mountain backdrop,7.65
박물관_부산영화체험박물관_1664.jpg,old cinema ticket booth,32.87,cinema with starry night backdrop,27.02,retro cinema facade,15.32
박물관_부산장난감박물관_1656.jpg,vibrant murals on gallery walls,90.06,gallery surrounded by blooming gardens,6.74,artistic gallery entrance detail,1.31
박물관_부산커피박물관_1672.jpg,bakery nestled in snowy village,19.52,historic bar with vintage signage,12.56,bar nestled in mountain village,11.81
박물관_부산커피박물관_1673.jpg,hidden bar in urban courtyard,17.47,bar nestled in mountain village,15.92,bar with sprawling vineyard view,10.7
박물관_부평역사박물관_1180.jpg,theater exterior with grand entrance,85.55,theater balcony overlooking the street,4.36,Rooftop terrace overlooking cityscape,3.58
박물관_부평역사박물관_1181.jpg,historic pavilion with mountain backdrop,41.15,historic pavilion with mountain backdrop,41.15,Temple courtyard surrounded by gardens,7.82
박물관_삼성화재 모빌리티뮤지엄_714.jpg,vibrant murals on gallery walls,26.23,gallery surrounded by blooming gardens,19.83,artistic gallery entrance detail,12.0
박물관_서대문자연사박물관_214.jpg,Ornate museum entrance details,21.83,Panoramic view of the zoo gardens,18.48,artistic gallery entrance detail,17.17
박물관_서대문자연사박물관_216.jpg,Panoramic view of the zoo gardens,55.64,Sculptural museum water fountain,6.72,fountain with vibrant flowers surrounding,5.98
박물관_서소문성지역사박물관_211.jpg,Cherry blossoms in full bloom,72.9,Temple tower framed by lush trees,11.29,Vibrant garden surrounding stone tower,8.91
박물관_서소문성지역사박물관_212.jpg,Cherry blossoms in full bloom,48.98,Butterflies fluttering over flowers,18.71,Vintage amusement park entrance sign,8.43
박물관_서울공예박물관_235.jpg,Panoramic views from palace balcony,34.75,historic pavilion with mountain backdrop,8.04,historic pavilion with mountain backdrop,8.04
박물관_서울공예박물관_236.jpg,fountain with ornate stone carvings,44.52,artistic gallery entrance detail,23.71,historic fountain reflecting in water,6.14
박물관_서울공예박물관_237.jpg,ancient trees in silent forest,93.49,Views from rooftop garden terrace,2.66,Birds circling above the old tower,0.69
박물관_서울생활사박물관_226.jpg,Museum facade at golden hour,27.8,Festival banners waving in the breeze,21.47,Festival grounds under starry sky,14.77
박물관_서울생활사박물관_227.jpg,Traditional festival decorations up close,32.61,Festival banners waving in the breeze,22.07,Cultural symbols adorning festival entrance,19.81
박물관_서울생활사박물관_228.jpg,charming cobblestone street to bakery,48.22,bakery courtyard with rustic charm,23.67,Tropical aviary with vibrant birds,7.19
박물관_서울역사박물관_197.jpg,Historic murals on palace walls,23.78,historic architecture of gallery exterior,21.28,gallery surrounded by blooming gardens,8.77
박물관_서울역사박물관_198.jpg,Market signs in vibrant colors,24.3,Historic murals on palace walls,18.72,Seasonal produce in abundance,16.48
박물관_송파책박물관_239.jpg,gallery surrounded by blooming gardens,32.26,Night lights illuminating storefront,18.33,bakery courtyard with rustic charm,15.85
박물관_송파책박물관_240.jpg,Quiet museum courtyard nooks,31.34,gallery surrounded by blooming gardens,24.13,artistic gallery entrance detail,12.92
박물관_수원광교박물관_751.jpg,artistic gallery entrance detail,28.38,gallery surrounded by blooming gardens,28.01,reflection of gallery on rain puddle,11.23
박물관_수원박물관_753.jpg,Historic architecture in museum courtyard,26.74,Blooming flower beds in spring,16.95,Colorful flags fluttering in breeze,11.64
박물관_수원박물관_754.jpg,Sunrise over coastal tower landscape,27.41,City skyline view from tower top,25.49,Sunlit alleyways between stalls,9.78
박물관_수원박물관_755.jpg,ornate carvings on palace walls,41.64,Shadow patterns on museum walls,17.01,Historic architecture in museum courtyard,11.31
박물관_수원화성박물관_733.jpg,Historic murals on palace walls,43.31,theater garden with blooming flowers,22.7,Grand staircase leading upwards,10.84
박물관_수원화성박물관_734.jpg,Historic architecture in museum courtyard,60.7,Sculptural museum water fountain,11.45,Quiet museum courtyard nooks,7.79
박물관_여주곤충박물관_744.jpg,gallery surrounded by blooming gardens,59.98,vibrant murals on gallery walls,12.31,Quiet museum courtyard nooks,7.39
박물관_영종역사관_1204.jpg,vibrant murals on gallery walls,53.42,gallery surrounded by blooming gardens,41.67,artistic gallery entrance detail,3.17
박물관_영종역사관_1206.jpg,Festival banners waving in the breeze,43.26,Cultural symbols adorning festival entrance,35.33,Traditional festival decorations up close,12.0
박물관_인천광역시립박물관_1177.jpg,charming cobblestone street to bakery,49.77,bakery nestled in snowy village,16.88,quaint bakery facade with flowers,16.73
박물관_인천광역시립박물관_1178.jpg,gallery surrounded by blooming gardens,64.19,vibrant murals on gallery walls,14.61,artistic gallery entrance detail,9.57
박물관_인천광역시립박물관_1179.jpg,Festival banners waving in the breeze,57.28,Colorful festival flags against blue sky,13.25,Festival grounds under starry sky,11.35
박물관_인천어린이박물관_1216.jpg,rainbow over stadium's entrance,54.15,Ornate museum entrance details,11.67,Historic architecture in museum courtyard,8.91
박물관_인천어린이박물관_1217.jpg,Blooming flower beds in spring,79.74,Colorful flags fluttering in breeze,7.21,Stone bridge over gentle stream,7.17
박물관_인천어린이박물관_1218.jpg,rainbow over stadium's entrance,36.0,Vintage amusement park entrance sign,21.26,Abandoned ride surrounded by greenery,12.8
박물관_전곡선사박물관_738.jpg,Festival banners waving in the breeze,50.47,Cultural symbols adorning festival entrance,21.01,Colorful festival flags against blue sky,14.14
박물관_전곡선사박물관_739.jpg,Festival banners waving in the breeze,96.16,Festival grounds under starry sky,1.6,Colorful festival flags against blue sky,1.06
박물관_전곡선사박물관_740.jpg,Handcrafted goods on display,36.09,cinema with starry night backdrop,12.44,Seasonal produce in abundance,9.81
박물관_증권박물관 부산관_1676.jpg,gallery surrounded by blooming gardens,38.29,Quiet museum courtyard nooks,16.81,artistic gallery entrance detail,10.71
박물관_짜장면박물관_1195.jpg,street art on historic building walls,72.85,narrow alley with vibrant graffiti,16.12,traditional rooftops against clear sky,6.62
박물관_짜장면박물관_1197.jpg,bakery amidst autumn foliage,49.1,vintage bakery window display,17.57,charming cobblestone street to bakery,13.43
박물관_철도박물관_717.jpg,historic architecture of gallery exterior,21.76,Historic architecture in museum courtyard,19.33,gallery surrounded by blooming gardens,17.99
박물관_철도박물관_718.jpg,Baskets overflowing with spices,51.19,Artisanal crafts from local vendors,23.85,Seasonal produce in abundance,15.79
박물관_철도박물관_719.jpg,Old building exterior with ivy,31.22,Historic department store entrance,27.43,Seasonal decorations on store exterior,20.69
박물관_청계천박물관_232.jpg,Shadow patterns on museum walls,39.28,Historic architecture in museum courtyard,13.41,Historic architecture details of tower,12.8
박물관_청계천박물관_234.jpg,Historic architecture in museum courtyard,22.9,gallery surrounded by blooming gardens,15.18,Shadow patterns on museum walls,14.6
박물관_한국근대문학관_1219.jpg,theater exterior with grand entrance,69.15,theater surrounded by autumn foliage,14.0,Reflections on museum pond,5.74
박물관_한국근현대사박물관_737.jpg,bridge arching over flowing river,44.23,trail winding through rocky terrain,29.59,moonlight shimmering on river,4.02
박물관_한국만화박물관_713.jpg,Modern escalator design in atrium,96.48,Department store architectural facade,2.84,Views from rooftop garden terrace,0.18
박물관_한국은행 화폐박물관_217.jpg,Market signs in vibrant colors,30.27,Market entrance with traditional decor,17.1,Artisanal crafts from local vendors,15.94
박물관_한국은행 화폐박물관_218.jpg,Blooming flower beds in spring,33.32,Historic architecture in museum courtyard,21.69,Ornate museum entrance details,16.95
박물관_한국은행 화폐박물관_219.jpg,Historic architecture in museum courtyard,69.02,traditional rooftops against clear sky,12.83,Vintage amusement park entrance sign,4.99
박물관_한국이민사박물관_1202.jpg,Historic street view from doorway,18.21,Charming entrance with vintage signage,16.98,Shadow patterns on museum walls,14.96
박물관_한국이민사박물관_1203.jpg,Temple entrance with ornate details,20.65,Museum facade at golden hour,19.36,Historic architecture in museum courtyard,17.12
박물관_한성백제박물관_220.jpg,Colorful flags fluttering in breeze,51.07,distant mountains seen from stadium,18.8,historic pavilion with mountain backdrop,7.59
박물관_한성백제박물관_221.jpg,gallery courtyard with ancient sculptures,65.58,Historic architecture in museum courtyard,18.08,gallery surrounded by blooming gardens,4.25
박물관_허준박물관_229.jpg,Quiet museum courtyard nooks,48.6,Sculptural museum water fountain,31.43,Historic architecture in museum courtyard,3.61
박물관_허준박물관_230.jpg,Shadow patterns on museum walls,26.32,ornate carvings on palace walls,23.68,Reflections on museum pond,9.94
박물관_허준박물관_231.jpg,Cozy outdoor seating with lanterns,30.35,Temple courtyard surrounded by gardens,26.54,Quaint courtyard with stone path,18.27
봉수대_황령산 봉수대_1677.jpg,Foggy morning view from observatory,84.89,Mountain range seen from observatory,9.77,Panoramic cityscape view from observatory,4.58
봉수대_황령산 봉수대_1678.jpg,Panoramic cityscape view from observatory,33.25,Foggy morning view from observatory,26.65,City skyline view from tower top,17.84
봉수대_황령산 봉수대_1679.jpg,City skyline view from tower top,75.07,Vibrant garden surrounding stone tower,5.0,historic pavilion with mountain backdrop,3.16
뷔페_서울신라호텔 더 파크뷰_34.jpg,bar with sprawling vineyard view,20.46,bakery amidst autumn foliage,18.95,bakery nestled in snowy village,14.86
뷔페_서울신라호텔 더 파크뷰_35.jpg,bakery amidst autumn foliage,54.72,bakery courtyard with rustic charm,19.96,bakery nestled in snowy village,15.96
