사진번호,파일명,라벨1,확률1(%),라벨2,확률2(%),라벨3,확률3(%),라벨4,확률4(%),라벨5,확률5(%)
197,미술관_국립현대미술관 과천_673.jpg,museum/outdoor,42.29,mausoleum,24.85,library/outdoor,12.72,courtyard,1.91,mosque/outdoor,1.89
198,미술관_국립현대미술관 서울_156.jpg,campus,23.13,industrial_area,22.48,parking_garage/outdoor,18.84,hospital,10.6,office_building,8.32
199,미술관_국제갤러리 부산지점_1635.jpg,ice_floe,11.26,shower,10.65,beauty_salon,6.76,cemetery,6.67,museum/indoor,6.5
200,미술관_국제갤러리 부산지점_1636.jpg,artists_loft,46.49,art_gallery,38.9,art_studio,7.7,museum/indoor,2.29,art_school,0.87
201,미술관_국제갤러리 부산지점_1637.jpg,office_building,41.03,downtown,15.96,skyscraper,13.75,parking_garage/outdoor,7.37,industrial_area,6.4
202,미술관_금련산갤러리_1638.jpg,childs_room,22.79,nursery,19.29,ice_shelf,18.28,ice_floe,10.82,kindergarden_classroom,3.0
203,미술관_금련산갤러리_1639.jpg,museum/indoor,19.13,martial_arts_gym,5.92,ice_shelf,4.53,volleyball_court/outdoor,4.53,snowfield,4.32
204,미술관_금련산갤러리_1640.jpg,museum/indoor,19.2,clothing_store,8.08,ice_shelf,6.96,drugstore,5.4,shoe_shop,4.55
205,미술관_금정문화회관 금샘미술관_1620.jpg,clothing_store,22.14,gift_shop,13.79,jewelry_shop,13.66,childs_room,11.65,shoe_shop,6.16
206,미술관_금정문화회관 금샘미술관_1621.jpg,elevator/door,54.39,museum/indoor,15.42,elevator_lobby,8.32,bookstore,5.49,bank_vault,2.82
207,미술관_금정문화회관 금샘미술관_1622.jpg,clothing_store,6.49,childs_room,6.05,elevator/door,5.94,fabric_store,5.29,gift_shop,4.9
208,미술관_김홍도미술관_705.jpg,office_building,29.24,hospital,14.28,skyscraper,12.99,building_facade,9.61,kasbah,6.6
209,미술관_김홍도미술관_706.jpg,gas_station,36.42,motel,18.57,bus_station/indoor,10.96,loading_dock,6.59,hangar/outdoor,4.32
210,미술관_대구간송미술관_1995.jpg,pavilion,25.43,amphitheater,9.07,kennel/outdoor,4.48,library/outdoor,3.7,beach_house,3.67
211,미술관_대구간송미술관_1996.jpg,drugstore,32.88,pharmacy,12.32,office_cubicles,8.23,clean_room,5.15,booth/indoor,4.99
212,미술관_대구간송미술관_1997.jpg,construction_site,23.09,industrial_area,15.1,campus,11.33,office_building,4.89,building_facade,4.43
213,미술관_대구미술관_1992.jpg,atrium/public,13.74,lobby,11.02,museum/indoor,10.49,science_museum,9.19,jewelry_shop,6.69
214,미술관_대구미술관_1993.jpg,art_studio,19.88,archive,13.71,art_school,13.51,art_gallery,12.18,science_museum,6.55
215,미술관_대구미술관_1994.jpg,artists_loft,54.15,art_gallery,35.49,art_studio,7.41,art_school,1.54,museum/indoor,0.9
216,미술관_대림미술관_188.jpg,art_gallery,52.42,artists_loft,37.73,art_studio,5.14,museum/indoor,1.72,art_school,1.24
217,미술관_대림미술관_189.jpg,playroom,20.42,childs_room,19.8,amusement_arcade,8.3,nursery,5.41,alcove,4.56
218,미술관_더리미미술관_1144.jpg,home_theater,53.57,movie_theater/indoor,26.03,restaurant,1.56,porch,1.38,bow_window/indoor,1.11
219,미술관_더리미미술관_1145.jpg,art_gallery,61.59,artists_loft,29.98,art_studio,4.2,museum/indoor,1.92,art_school,1.54
220,미술관_디뮤지엄_181.jpg,discotheque,43.35,igloo,17.91,catacomb,11.7,amusement_park,4.15,burial_chamber,3.29
221,미술관_랄프깁슨 사진미술관_1629.jpg,phone_booth,95.56,jail_cell,3.07,elevator/door,0.28,airport_terminal,0.2,elevator_shaft,0.11
222,미술관_리움미술관_150.jpg,driveway,23.76,patio,14.09,basement,4.82,martial_arts_gym,3.01,garage/indoor,2.47
223,미술관_리움미술관_152.jpg,catacomb,29.41,jail_cell,16.64,elevator_shaft,14.68,barndoor,4.65,elevator/door,2.59
224,미술관_뮤지엄원_1615.jpg,science_museum,55.49,amusement_arcade,10.62,television_studio,4.07,plaza,2.78,stage/outdoor,2.37
225,미술관_뮤지엄원_1616.jpg,drugstore,15.92,clean_room,9.8,conference_center,9.47,ice_shelf,8.27,server_room,5.74
226,미술관_미메시스아트뮤지엄_679.jpg,art_gallery,34.87,artists_loft,15.88,museum/indoor,10.32,atrium/public,9.8,entrance_hall,3.6
227,미술관_부산시립미술관 (휴관중)_1605.jpg,jewelry_shop,58.29,art_gallery,15.27,martial_arts_gym,4.96,science_museum,4.77,gift_shop,3.04
228,미술관_부산시립미술관 이우환공간_1623.jpg,office_building,31.84,campus,19.58,library/outdoor,13.31,industrial_area,9.73,hospital,7.86
229,미술관_부산시립미술관 이우환공간_1624.jpg,lawn,37.28,zen_garden,27.58,japanese_garden,11.72,yard,4.46,sandbox,3.09
230,미술관_부산시립미술관 이우환공간_1625.jpg,ice_floe,42.9,ice_shelf,16.81,iceberg,8.04,glacier,7.62,natural_history_museum,4.41
231,미술관_부산현대미술관_1611.jpg,bookstore,14.73,drugstore,10.15,pharmacy,9.72,ice_cream_parlor,6.56,beauty_salon,5.88
232,미술관_부산현대미술관_1612.jpg,library/outdoor,36.13,building_facade,7.65,topiary_garden,6.67,industrial_area,6.38,office_building,3.75
233,미술관_부평아트센터 꽃누리갤러리_1153.jpg,drugstore,60.95,pharmacy,10.29,ice_shelf,6.47,chemistry_lab,5.66,ice_floe,1.87
234,미술관_서면미술관_1617.jpg,discotheque,79.16,stage/indoor,15.09,television_studio,2.84,music_studio,1.12,arena/performance,0.69
235,미술관_서면미술관_1618.jpg,beauty_salon,21.64,conference_center,19.37,nursery,16.36,drugstore,10.73,pharmacy,7.55
236,미술관_서울시립 북서울미술관_179.jpg,museum/indoor,24.48,jewelry_shop,8.86,racecourse,8.3,clothing_store,5.46,physics_laboratory,4.68
237,미술관_서울시립 북서울미술관_180.jpg,art_studio,53.54,art_gallery,29.68,art_school,11.62,artists_loft,1.84,museum/indoor,1.79
238,미술관_서울시립 사진미술관_193.jpg,library/outdoor,30.93,museum/outdoor,20.32,parking_garage/outdoor,11.62,office_building,8.93,industrial_area,5.46
239,미술관_서울시립 사진미술관_194.jpg,desert/vegetation,77.66,conference_center,8.09,wheat_field,2.09,lecture_room,1.92,office,1.89
240,미술관_서울시립 사진미술관_195.jpg,art_gallery,15.06,elevator_shaft,14.18,artists_loft,6.47,subway_station/platform,6.06,attic,5.83
241,미술관_서울시립미술관 서소문본관_159.jpg,hospital,35.6,campus,17.57,office_building,12.18,library/outdoor,12.16,building_facade,6.28
242,미술관_서울시립미술관 서소문본관_160.jpg,art_gallery,40.57,artists_loft,38.5,art_studio,12.88,art_school,3.84,museum/indoor,2.87
243,미술관_서울시립미술관 서소문본관_161.jpg,art_gallery,40.57,artists_loft,38.5,art_studio,12.88,art_school,3.84,museum/indoor,2.87
244,미술관_서울시립미술관 서소문본관_162.jpg,conference_center,40.14,veterinarians_office,26.56,martial_arts_gym,7.96,hospital_room,4.17,lecture_room,3.69
245,미술관_석모도갤러리_1168.jpg,delicatessen,92.02,pizzeria,3.85,sushi_bar,0.76,restaurant,0.76,ice_cream_parlor,0.74
246,미술관_석파정 서울미술관_169.jpg,recreation_room,26.74,television_studio,24.6,baseball_field,5.34,music_studio,4.33,football_field,2.2
247,미술관_석파정 서울미술관_170.jpg,topiary_garden,56.67,museum/indoor,15.2,art_gallery,4.09,baseball_field,3.76,art_studio,1.71
248,미술관_석파정 서울미술관_171.jpg,bank_vault,29.89,museum/indoor,24.46,art_gallery,12.51,science_museum,9.08,archive,2.68
249,미술관_성남큐브미술관_701.jpg,ice_shelf,52.6,sky,19.08,drugstore,4.5,ice_floe,4.0,pharmacy,2.71
250,미술관_송암미술관_1135.jpg,museum/indoor,71.02,science_museum,7.86,army_base,6.76,natural_history_museum,6.55,art_gallery,4.06
251,미술관_송암미술관_1136.jpg,campus,55.27,museum/outdoor,5.17,plaza,4.8,courtyard,3.17,courthouse,3.13
252,미술관_수원시립미술관_674.jpg,boardwalk,35.97,motel,13.53,pier,10.29,baseball_field,5.82,promenade,2.96
253,미술관_수원시립미술관_675.jpg,kindergarden_classroom,22.5,playroom,7.08,amusement_park,5.3,amusement_arcade,4.63,water_park,4.1
254,미술관_수원시립미술관_676.jpg,museum/indoor,46.82,art_gallery,33.86,science_museum,2.77,temple/asia,2.72,natural_history_museum,2.43
255,미술관_스페인마을 갤러리_1151.jpg,lock_chamber,42.56,beach_house,9.65,roof_garden,6.59,manufactured_home,2.96,residential_neighborhood,2.7
256,미술관_아모레퍼시픽미술관_175.jpg,archive,33.4,server_room,30.87,storage_room,14.07,bookstore,5.52,library/indoor,3.3
257,미술관_아트KMJ갤러리_1170.jpg,ice_shelf,83.57,ice_floe,4.33,iceberg,3.42,ocean,1.47,sky,1.35
258,미술관_양주시립장욱진미술관_680.jpg,fire_escape,55.77,atrium/public,7.98,rope_bridge,5.82,elevator_shaft,3.37,staircase,3.07
259,미술관_양주시립장욱진미술관_681.jpg,bridge,43.62,rope_bridge,39.47,boardwalk,7.38,promenade,3.45,viaduct,1.86
260,미술관_양주시립장욱진미술관_682.jpg,hangar/outdoor,43.3,library/outdoor,15.91,stage/outdoor,7.65,museum/outdoor,5.35,diner/outdoor,2.1
261,미술관_양평군립미술관_693.jpg,museum/indoor,12.6,bar,9.1,clothing_store,4.92,amusement_park,4.79,coffee_shop,4.75
262,미술관_양평군립미술관_694.jpg,art_gallery,70.38,art_studio,15.91,museum/indoor,5.23,art_school,3.02,booth/indoor,0.76
263,미술관_양평군립미술관_695.jpg,art_gallery,82.11,artists_loft,8.18,art_studio,6.34,museum/indoor,2.06,art_school,0.9
264,미술관_예술의전당 한가람미술관_164.jpg,legislative_chamber,15.8,booth/indoor,12.34,conference_center,11.82,lecture_room,10.2,office,9.31
265,미술관_예술의전당 한가람미술관_165.jpg,server_room,20.82,conference_center,15.25,booth/indoor,6.27,hospital,2.83,drugstore,2.35
266,미술관_오산시립미술관_708.jpg,hangar/outdoor,21.75,shopfront,16.14,hotel/outdoor,12.09,library/outdoor,10.87,hospital,7.17
267,미술관_오산시립미술관_710.jpg,clean_room,16.44,hangar/outdoor,8.16,garage/outdoor,5.47,ticket_booth,4.06,doorway/outdoor,3.52
268,미술관_우현문갤러리_1161.jpg,basement,40.98,artists_loft,20.87,television_studio,9.54,art_gallery,8.19,art_studio,6.32
269,미술관_우현문갤러리_1162.jpg,art_gallery,60.53,art_studio,11.44,museum/indoor,9.59,home_theater,4.74,artists_loft,3.98
270,미술관_우현문갤러리_1163.jpg,art_gallery,52.55,artists_loft,27.21,art_studio,16.4,art_school,2.03,museum/indoor,1.59
271,미술관_유리섬_686.jpg,playroom,26.63,art_gallery,25.35,art_studio,17.74,nursery,8.96,art_school,7.37
272,미술관_유리섬_687.jpg,elevator/door,32.31,ticket_booth,28.76,booth/indoor,12.45,drugstore,4.14,elevator_lobby,4.0
273,미술관_유리섬_688.jpg,igloo,58.08,ski_slope,23.73,alcove,3.74,crevasse,2.91,ski_resort,1.27
274,미술관_전원미술관_1173.jpg,rice_paddy,18.03,beach_house,13.98,cottage,8.77,shed,7.52,barn,6.39
275,미술관_전원미술관_1174.jpg,chalet,20.87,hunting_lodge/outdoor,18.8,house,13.26,cottage,11.81,residential_neighborhood,5.94
276,미술관_전원미술관_1175.jpg,general_store/outdoor,67.8,beach_house,4.92,slum,4.87,hunting_lodge/outdoor,3.43,chalet,3.34
277,미술관_정서진아트큐브_1155.jpg,fabric_store,20.23,art_studio,19.23,art_gallery,13.93,amusement_arcade,12.84,toyshop,5.41
278,미술관_정서진아트큐브_1156.jpg,office_cubicles,7.85,ice_shelf,7.57,chalet,4.26,childs_room,4.16,nursery,3.09
279,미술관_참살이미술관_1146.jpg,archive,22.58,museum/indoor,11.72,nursing_home,6.17,dressing_room,6.05,art_studio,4.76
280,미술관_참살이미술관_1147.jpg,artists_loft,36.06,art_gallery,27.15,lobby,6.3,elevator_lobby,5.66,airport_terminal,5.19
281,미술관_참살이미술관_1148.jpg,locker_room,39.15,drugstore,14.52,pharmacy,5.98,hardware_store,5.49,clothing_store,4.51
282,미술관_채플갤러리_1137.jpg,conference_room,45.72,office,12.11,waiting_room,7.46,computer_room,6.33,library/indoor,5.53
283,미술관_채플갤러리_1138.jpg,art_gallery,20.58,artists_loft,15.18,museum/indoor,15.1,science_museum,6.89,home_theater,4.99
284,미술관_채플갤러리_1139.jpg,art_gallery,59.27,artists_loft,17.9,art_studio,11.48,museum/indoor,2.1,art_school,1.84
285,미술관_포레리움_704.jpg,campus,22.68,industrial_area,15.68,hospital,11.01,hangar/outdoor,10.25,lawn,7.9
286,미술관_한두뼘12갤러리_1176.jpg,bakery/shop,55.85,ice_cream_parlor,16.61,fastfood_restaurant,8.27,coffee_shop,5.44,delicatessen,5.24
287,미술관_한새갤러리_1646.jpg,alley,14.92,house,14.53,fire_escape,8.19,doorway/outdoor,5.79,patio,5.06
288,미술관_호암미술관_668.jpg,gazebo/exterior,34.89,pavilion,22.97,temple/asia,16.15,pagoda,9.03,mausoleum,7.09
289,미술관_호암미술관_669.jpg,gazebo/exterior,30.74,pavilion,23.97,temple/asia,10.21,japanese_garden,6.99,tree_house,6.88
290,미술관_호암미술관_670.jpg,rainforest,48.3,botanical_garden,33.03,vegetable_garden,8.73,field_road,5.4,orchard,2.35
291,박물관_강화역사박물관_1190.jpg,science_museum,35.41,museum/indoor,22.57,natural_history_museum,16.84,art_gallery,3.05,clean_room,1.96
292,박물관_강화역사박물관_1191.jpg,hangar/outdoor,85.61,library/outdoor,3.96,museum/outdoor,3.22,parking_garage/outdoor,2.53,industrial_area,1.41
293,박물관_강화자연사박물관_1199.jpg,storage_room,11.88,pharmacy,8.48,drugstore,7.55,office,6.98,shoe_shop,4.3
294,박물관_강화자연사박물관_1200.jpg,art_gallery,27.45,museum/indoor,13.03,science_museum,7.68,artists_loft,6.93,corridor,6.7
295,박물관_강화전쟁박물관_1210.jpg,jewelry_shop,42.96,natural_history_museum,23.37,science_museum,12.0,museum/indoor,5.13,home_theater,4.72
296,박물관_강화전쟁박물관_1212.jpg,mansion,15.48,house,14.84,beach_house,11.83,manufactured_home,6.29,motel,4.4
297,박물관_검단선사박물관_1207.jpg,jewelry_shop,51.84,natural_history_museum,18.71,elevator_lobby,7.76,corridor,6.7,science_museum,5.23
298,박물관_검단선사박물관_1208.jpg,drugstore,43.12,childs_room,11.74,amusement_arcade,6.46,pharmacy,6.16,booth/indoor,3.86
299,박물관_검단선사박물관_1209.jpg,sandbox,15.34,patio,10.98,beer_garden,7.18,art_school,6.51,boat_deck,5.83
300,박물관_경기도어린이박물관_723.jpg,booth/indoor,42.41,drugstore,17.17,amusement_arcade,6.2,office_cubicles,4.28,playroom,3.95
301,박물관_경기도어린이박물관_724.jpg,office_cubicles,30.48,office,22.5,lecture_room,6.15,elevator_lobby,5.34,server_room,4.34
302,박물관_경기도어린이박물관_725.jpg,kindergarden_classroom,60.07,nursery,22.23,childs_room,8.48,playroom,3.21,booth/indoor,1.97
303,박물관_경기북부어린이박물관_747.jpg,museum/outdoor,30.12,hospital,28.16,hotel/outdoor,5.0,hangar/outdoor,4.71,office_building,4.05
304,박물관_경기북부어린이박물관_748.jpg,recreation_room,39.7,playroom,38.65,kindergarden_classroom,14.34,amusement_arcade,3.35,toyshop,1.13
305,박물관_경기북부어린이박물관_749.jpg,entrance_hall,45.36,booth/indoor,13.63,airport_terminal,6.11,conference_center,4.42,lobby,3.07
306,박물관_계양산성박물관_1213.jpg,science_museum,29.41,natural_history_museum,27.67,booth/indoor,23.03,jewelry_shop,13.71,art_gallery,2.23
307,박물관_계양산성박물관_1214.jpg,drugstore,11.9,pharmacy,5.92,conference_center,5.41,booth/indoor,4.77,ice_cream_parlor,4.2
308,박물관_고양어린이박물관_730.jpg,aquarium,12.47,amusement_arcade,11.99,science_museum,10.19,canal/natural,8.56,art_gallery,5.1
309,박물관_고양어린이박물관_731.jpg,aquarium,9.47,canal/natural,8.91,amusement_arcade,8.34,science_museum,7.35,art_gallery,3.55
310,박물관_국립고궁박물관_208.jpg,natural_history_museum,41.23,science_museum,19.74,museum/indoor,10.54,booth/indoor,4.69,field_road,2.69
311,박물관_국립고궁박물관_209.jpg,jail_cell,66.4,locker_room,9.67,elevator/door,8.38,barndoor,2.06,kennel/outdoor,2.01
312,박물관_국립농업박물관_741.jpg,campus,79.46,rice_paddy,2.52,racecourse,2.25,schoolhouse,1.5,soccer_field,1.44
313,박물관_국립농업박물관_742.jpg,formal_garden,62.12,roof_garden,8.89,campus,6.4,palace,3.3,plaza,3.28
314,박물관_국립농업박물관_743.jpg,atrium/public,49.43,shopping_mall/indoor,20.1,courtyard,5.82,mezzanine,4.89,elevator_lobby,2.14
315,박물관_국립민속박물관 본관_206.jpg,drugstore,68.43,pharmacy,16.37,clean_room,7.43,chemistry_lab,3.64,booth/indoor,2.36
316,박물관_국립세계문자박물관_1192.jpg,archive,11.52,drugstore,10.27,pharmacy,7.93,hardware_store,5.59,motel,5.1
317,박물관_국립세계문자박물관_1193.jpg,museum/outdoor,22.01,skyscraper,20.49,downtown,16.81,fountain,7.45,office_building,6.16
318,박물관_국립세계문자박물관_1194.jpg,downtown,42.55,skyscraper,20.08,plaza,6.3,office_building,5.17,industrial_area,3.85
319,박물관_국립인천해양박물관_1186.jpg,nursery,24.86,childs_room,22.53,kindergarden_classroom,14.94,playroom,9.0,booth/indoor,3.14
320,박물관_국립인천해양박물관_1188.jpg,booth/indoor,23.72,hospital,9.22,conference_center,8.37,loading_dock,7.09,shopfront,6.79
321,박물관_국립중앙박물관_199.jpg,museum/indoor,55.35,temple/asia,20.19,burial_chamber,16.52,art_gallery,2.1,science_museum,1.79
322,박물관_국립중앙박물관_201.jpg,museum/indoor,60.1,art_gallery,12.24,art_studio,6.31,art_school,4.6,natural_history_museum,3.61
323,박물관_국립항공박물관_223.jpg,airplane_cabin,98.88,train_interior,0.34,elevator_lobby,0.08,escalator/indoor,0.05,television_studio,0.04
324,박물관_국립항공박물관_224.jpg,orchestra_pit,24.71,museum/indoor,22.91,stage/indoor,5.72,television_studio,5.21,auditorium,4.88
325,박물관_국립해양박물관_1668.jpg,museum/outdoor,18.78,library/outdoor,13.74,hangar/outdoor,10.91,campus,9.41,industrial_area,7.94
326,박물관_국립해양박물관_1669.jpg,aquarium,92.33,science_museum,2.32,fountain,1.44,swimming_pool/indoor,0.57,natural_history_museum,0.36
327,박물관_국립해양박물관_1670.jpg,artists_loft,60.54,museum/indoor,5.51,art_gallery,4.46,living_room,4.02,boat_deck,2.86
328,박물관_대한민국역사박물관_202.jpg,booth/indoor,44.93,jewelry_shop,18.05,art_gallery,7.29,beauty_salon,4.75,department_store,3.45
329,박물관_대한민국역사박물관_204.jpg,art_gallery,56.42,museum/indoor,15.64,art_studio,9.58,artists_loft,9.05,science_museum,1.91
330,박물관_부산영화체험박물관_1662.jpg,drugstore,30.89,pharmacy,6.24,hardware_store,4.84,ice_cream_parlor,4.59,conference_center,3.86
331,박물관_부산영화체험박물관_1663.jpg,drugstore,22.04,hardware_store,5.74,pharmacy,5.11,volleyball_court/outdoor,4.68,booth/indoor,3.81
332,박물관_부산영화체험박물관_1664.jpg,home_theater,56.32,airport_terminal,5.41,movie_theater/indoor,5.34,subway_station/platform,3.78,elevator_lobby,2.8
333,박물관_부산장난감박물관_1656.jpg,toyshop,22.22,gift_shop,21.16,storage_room,16.27,pantry,10.14,pet_shop,5.65
334,박물관_부산커피박물관_1672.jpg,coffee_shop,26.49,ice_cream_parlor,19.4,bakery/shop,7.4,general_store/indoor,5.0,sushi_bar,3.39
335,박물관_부산커피박물관_1673.jpg,museum/indoor,39.74,science_museum,30.18,repair_shop,3.49,gift_shop,3.29,hardware_store,2.71
336,박물관_부평역사박물관_1180.jpg,parking_garage/outdoor,85.44,construction_site,3.22,office_building,2.81,library/outdoor,2.36,hospital,1.04
337,박물관_부평역사박물관_1181.jpg,pagoda,33.59,schoolhouse,21.18,temple/asia,12.54,gazebo/exterior,7.32,mausoleum,4.81
338,박물관_삼성화재 모빌리티뮤지엄_714.jpg,science_museum,22.02,hangar/indoor,16.05,parking_garage/indoor,15.4,museum/indoor,11.19,art_gallery,3.15
339,박물관_서대문자연사박물관_214.jpg,natural_history_museum,82.82,science_museum,14.76,museum/indoor,2.28,atrium/public,0.05,lobby,0.02
340,박물관_서대문자연사박물관_216.jpg,zen_garden,20.04,natural_history_museum,12.67,museum/outdoor,12.51,ticket_booth,10.98,science_museum,3.64
341,박물관_서소문성지역사박물관_211.jpg,castle,35.57,church/outdoor,14.16,palace,13.03,kasbah,12.42,tower,5.85
342,박물관_서소문성지역사박물관_212.jpg,candy_store,17.66,art_gallery,13.24,museum/indoor,10.57,gift_shop,7.81,coffee_shop,5.33
343,박물관_서울공예박물관_235.jpg,balcony/exterior,19.96,campus,14.43,balcony/interior,12.57,hospital,7.6,hotel/outdoor,5.59
344,박물관_서울공예박물관_236.jpg,natural_history_museum,37.93,science_museum,19.43,ice_floe,9.11,snowfield,4.97,sky,2.53
345,박물관_서울공예박물관_237.jpg,ocean,8.79,beach,7.76,coast,5.3,drugstore,4.83,phone_booth,3.71
346,박물관_서울생활사박물관_226.jpg,playroom,84.65,kindergarden_classroom,10.96,childs_room,2.38,nursery,0.57,ball_pit,0.37
347,박물관_서울생활사박물관_227.jpg,childs_room,30.53,playroom,25.65,kindergarden_classroom,25.4,nursery,12.35,candy_store,1.83
348,박물관_서울생활사박물관_228.jpg,bakery/shop,37.94,childs_room,20.09,playroom,14.69,candy_store,11.13,gift_shop,5.15
349,박물관_서울역사박물관_197.jpg,mosque/outdoor,47.86,motel,7.6,palace,3.92,hotel/outdoor,2.92,harbor,2.24
350,박물관_서울역사박물관_198.jpg,legislative_chamber,74.87,conference_center,19.92,booth/indoor,2.91,lecture_room,1.43,office,0.3
351,박물관_송파책박물관_239.jpg,pharmacy,22.06,drugstore,16.12,shoe_shop,15.38,beauty_salon,8.17,home_office,3.81
352,박물관_송파책박물관_240.jpg,library/indoor,64.64,archive,14.06,drugstore,8.92,pharmacy,6.58,bookstore,1.66
353,박물관_수원광교박물관_751.jpg,art_gallery,17.28,ice_cream_parlor,8.18,booth/indoor,6.6,archive,6.4,museum/indoor,6.27
354,박물관_수원박물관_753.jpg,ticket_booth,61.54,phone_booth,11.0,industrial_area,7.97,bus_station/indoor,2.41,lock_chamber,2.39
355,박물관_수원박물관_754.jpg,skyscraper,83.66,downtown,9.98,sky,2.38,office_building,1.91,tower,0.7
356,박물관_수원박물관_755.jpg,burial_chamber,25.25,museum/indoor,20.78,archive,18.43,alcove,5.19,art_gallery,3.86
357,박물관_수원화성박물관_733.jpg,conference_center,61.88,office,5.58,booth/indoor,4.57,lecture_room,4.2,martial_arts_gym,3.12
358,박물관_수원화성박물관_734.jpg,office,12.81,office_cubicles,12.08,server_room,7.05,drugstore,5.76,physics_laboratory,4.61
359,박물관_여주곤충박물관_744.jpg,amusement_arcade,37.32,toyshop,20.82,playroom,6.23,childs_room,4.35,recreation_room,3.94
360,박물관_영종역사관_1204.jpg,drugstore,25.63,pharmacy,12.6,pet_shop,9.79,booth/indoor,6.13,art_studio,5.65
361,박물관_영종역사관_1206.jpg,airfield,76.5,hangar/indoor,5.94,lawn,4.84,runway,4.49,heliport,1.61
362,박물관_인천광역시립박물관_1177.jpg,nursery,29.29,jewelry_shop,10.76,gift_shop,6.19,childs_room,4.94,office,3.67
363,박물관_인천광역시립박물관_1178.jpg,kindergarden_classroom,16.4,amusement_arcade,14.22,science_museum,13.8,booth/indoor,11.78,playroom,7.97
364,박물관_인천광역시립박물관_1179.jpg,kindergarden_classroom,21.84,childs_room,19.62,playroom,17.74,toyshop,16.19,recreation_room,5.03
365,박물관_인천어린이박물관_1216.jpg,shopfront,51.87,ticket_booth,16.9,doorway/outdoor,7.38,general_store/outdoor,3.29,pharmacy,3.18
366,박물관_인천어린이박물관_1217.jpg,booth/indoor,44.35,reception,21.86,conference_center,9.06,locker_room,5.75,legislative_chamber,5.42
367,박물관_인천어린이박물관_1218.jpg,drugstore,70.79,pharmacy,11.63,hardware_store,4.12,booth/indoor,2.34,chemistry_lab,1.89
368,박물관_전곡선사박물관_738.jpg,drugstore,54.85,pharmacy,20.5,playroom,4.76,booth/indoor,4.33,office,1.68
369,박물관_전곡선사박물관_739.jpg,playroom,25.95,childs_room,25.87,nursery,22.52,kindergarden_classroom,18.59,art_school,0.97
370,박물관_전곡선사박물관_740.jpg,army_base,19.16,legislative_chamber,8.37,office,5.45,archaelogical_excavation,4.15,reception,3.88
371,박물관_증권박물관 부산관_1676.jpg,office_cubicles,76.7,office,14.58,home_office,4.38,computer_room,0.89,server_room,0.67
372,박물관_짜장면박물관_1195.jpg,loading_dock,24.81,construction_site,12.36,hospital,8.62,fire_escape,7.79,embassy,6.08
373,박물관_짜장면박물관_1197.jpg,coffee_shop,52.45,ice_cream_parlor,8.13,restaurant,6.29,library/indoor,3.73,beer_hall,3.56
374,박물관_철도박물관_717.jpg,jewelry_shop,16.95,clean_room,8.2,server_room,6.46,physics_laboratory,5.93,science_museum,5.4
375,박물관_철도박물관_718.jpg,ice_cream_parlor,14.89,hospital_room,10.69,beauty_salon,8.66,restaurant_kitchen,7.96,art_school,4.97
376,박물관_철도박물관_719.jpg,loading_dock,52.18,hangar/outdoor,19.33,industrial_area,10.31,parking_lot,7.65,repair_shop,4.39
377,박물관_청계천박물관_232.jpg,museum/indoor,17.39,railroad_track,8.69,archive,7.44,highway,6.9,desert/sand,6.06
378,박물관_청계천박물관_234.jpg,booth/indoor,50.7,science_museum,14.95,archive,13.22,museum/indoor,11.27,natural_history_museum,3.71
379,박물관_한국근대문학관_1219.jpg,campus,35.83,library/outdoor,20.68,office_building,7.65,parking_garage/outdoor,5.57,greenhouse/outdoor,4.52
380,박물관_한국근현대사박물관_737.jpg,childs_room,55.21,nursery,36.76,playroom,0.87,kindergarden_classroom,0.68,art_studio,0.54
381,박물관_한국만화박물관_713.jpg,amusement_park,46.74,amphitheater,12.89,stadium/soccer,8.46,stadium/football,5.38,water_park,3.99
382,박물관_한국은행 화폐박물관_217.jpg,kindergarden_classroom,43.77,playroom,13.1,booth/indoor,9.86,childs_room,9.76,drugstore,7.02
383,박물관_한국은행 화폐박물관_218.jpg,roof_garden,95.64,vegetable_garden,0.5,zen_garden,0.46,courtyard,0.46,greenhouse/indoor,0.32
384,박물관_한국은행 화폐박물관_219.jpg,booth/indoor,82.91,pharmacy,4.66,drugstore,4.3,science_museum,1.71,natural_history_museum,0.99
385,박물관_한국이민사박물관_1202.jpg,museum/indoor,59.91,archive,10.44,elevator/door,5.93,natural_history_museum,4.98,art_gallery,3.77
386,박물관_한국이민사박물관_1203.jpg,museum/outdoor,20.14,industrial_area,18.4,hospital,12.37,campus,8.15,library/outdoor,5.88
387,박물관_한성백제박물관_220.jpg,plaza,29.64,hangar/outdoor,16.47,runway,11.92,museum/outdoor,7.5,downtown,6.44
388,박물관_한성백제박물관_221.jpg,museum/indoor,26.91,flea_market/indoor,12.93,pharmacy,9.01,physics_laboratory,5.4,jail_cell,4.53
389,박물관_허준박물관_229.jpg,science_museum,75.73,natural_history_museum,9.27,museum/indoor,3.8,playroom,2.08,art_gallery,1.75
390,박물관_허준박물관_230.jpg,archive,16.48,sauna,12.47,museum/indoor,8.71,burial_chamber,8.03,art_gallery,6.81
391,박물관_허준박물관_231.jpg,zen_garden,47.3,shopping_mall/indoor,7.19,courtyard,5.85,natural_history_museum,5.01,atrium/public,3.09
392,봉수대_황령산 봉수대_1677.jpg,valley,23.41,village,22.42,mountain,10.31,sky,9.41,field/cultivated,5.02
